Price_x,Open_x,High_x,Low_x,Vol._x,Change %_x,dt,sentiment_balance,unique_social_volume_1h,miners_to_exchanges_flow,whale_transaction_count_more_than_100k_usd_5min,whale_transaction_count_more_than_1m_usd_5min,Price_y,Open_y,High_y,Low_y,Vol._y,Change %_y,5_day_ma,10_day_ma,20_day_ma,5_day_mv,10_day_mv,20_day_mv,Sell_Price
53820.2,56479.5,56764.4,53657.6,100260.0,-4.71,,,,,,,,,,,,,,,,,,,
51729.5,53821.3,55408.4,50590.9,168130.0,-3.88,,,,,,,,,,,,,,,,,,,
51143.6,51707.1,52099.9,47659.4,214460.0,-1.13,,,,,,,,,,,,,,,,,,,
50088.9,51140.8,51183.0,48775.2,82250.0,-2.06,,,,,,,,,,,,,,,,,,,
48963.6,50088.2,50532.4,47098.5,59200.0,-2.25,,,,,,,,,,,,,,,,,,,
54020.5,48963.5,54320.9,48815.9,129759.99999999999,10.33,,,,,,,,,,,,,,,,,,,
55036.5,54011.1,55427.8,53345.0,84080.0,1.88,,,,,,,,,,,,,,,,,,,
54841.4,55036.0,56419.9,53876.4,86960.0,-0.35,,,,,,,,,,,,,,,,,,,
53560.8,54838.6,55173.7,52400.0,83900.0,-2.34,,,,,,,,,,,,,,,,,,,
57720.3,53562.3,57925.6,53088.7,103740.0,7.77,,,,,,,,,,,,,,,,,,,
57807.1,57719.1,58449.4,57029.5,63410.0,0.15,,,,,,,,,,,,,,,,,,,
56603.8,57807.2,57868.4,56110.5,53610.0,-2.08,,,,,,,,,,,,,,,,,,,
57169.8,56605.8,58925.1,56562.4,89240.0,1.0,,,,,,,,,,,,,,,,,,,
53741.5,57170.6,57201.3,53741.5,132330.0,-6.0,,,,,,,,,,,,,,,,,,,
57441.3,53872.5,57936.4,53872.5,119820.0,6.88,,,,,,,,,,,,,,,,,,,
56405.4,57441.0,58364.9,55294.5,109020.0,-1.8,,,,,,,,,,,,,,,,,,,
57337.2,56411.4,58639.3,55300.1,110010.0,1.65,,,,,,,,,,,,,,,,,,,
58840.1,57330.3,59471.1,56972.2,101270.0,2.62,,,,,,,,,,,,,,,,,,,
58238.3,58840.6,59227.0,56414.4,103590.0,-1.02,,,,,,,,,,,,,,,,,,,
55848.9,58251.2,59523.9,53678.3,142610.0,-4.1,,,,,,,,,,,,,,,,,,,
56695.7,55846.1,56871.1,54550.4,96470.0,1.52,,,,,,,,,,,,,,,,,,,
49384.2,56694.5,57938.5,49187.0,160740.0,-12.9,,,,,,,,,,,,,,,,,,,
49704.6,49398.2,51337.3,46331.1,236710.0,0.65,,,,,,,,,,,,,,,,,,,
49839.8,49704.9,51459.2,48874.0,118840.0,0.27,,,,,,,,,,,,,,,,,,,
46708.8,49839.1,50640.9,46650.2,131910.0,-6.28,,,,,,,,,,,,,,,,,,,
46426.4,46729.3,49764.3,43920.8,180070.0,-0.6,,,,,,,,,,,,,,,,,,,
43541.3,46424.2,46545.4,42201.5,274760.0,-6.21,,,,,,,,,,,,,,,,,,,
42897.3,43538.5,45770.9,42293.9,154960.0,-1.48,,,,,,,,,,,,,,,,,,,
36720.5,42898.3,43516.6,30261.7,607100.0,-14.4,,,,,,,,,,,,,,,,,,,
40717.2,36706.8,42425.9,35010.4,269750.0,10.88,,,,,,,,,,,,,,,,,,,
37297.4,40611.2,42108.3,33592.3,315500.0,-8.4,,,,,,,,,,,,,,,,,,,
37448.3,37291.0,38776.0,35314.9,185830.0,0.4,,,,,,,,,,,,,,,,,,,
34679.7,37446.8,38248.7,31192.4,325730.0,-7.39,,,,,,,,,,,,,,,,,,,
38750.6,34720.3,39851.7,34474.6,244880.0,11.74,,,,,,,,,,,,,,,,,,,
38378.3,38753.6,39740.8,36540.7,163010.0,-0.96,,,,,,,,,,,,,,,,,,,
39249.2,38375.7,40750.0,37847.0,153800.0,2.27,,,,,,,,,,,,,,,,,,,
38417.3,39249.0,40322.2,37190.8,122930.0,-2.12,,,,,,,,,,,,,,,,,,,
35662.5,38543.2,38844.1,34772.4,199580.0,-7.17,,,,,,,,,,,,,,,,,,,
34584.6,35664.5,37227.1,33664.2,160430.0,-3.02,,,,,,,,,,,,,,,,,,,
35652.8,34589.3,36388.6,33441.0,104180.0,3.09,,,,,,,,,,,,,,,,,,,
37298.6,35644.0,37480.7,34213.2,131700.0,4.62,,,,,,,,,,,,,,,,,,,
36687.6,37294.3,37850.3,35742.7,113480.0,-1.64,,,,,,,,,,,,,,,,,,,
37555.8,36687.7,38199.9,35981.1,96890.0,2.37,,,,,,,,,,,,,,,,,,,
39187.3,37555.7,39462.3,37193.6,106440.0,4.34,,,,,,,,,,,,,,,,,,,
36851.3,39191.4,39255.4,35659.9,127710.0,-5.96,,,,,,,,,,,,,,,,,,,
35520.0,36841.2,37887.6,34832.0,101480.0,-3.61,,,,,,,,,,,,,,,,,,,
35815.4,35518.7,36434.0,35265.3,62200.0,0.83,,,,,,,,,,,,,,,,,,,
33578.0,35815.4,36754.6,33410.1,119500.0,-6.25,,,,,,,,,,,,,,,,,,,
33382.9,33574.6,34047.8,31158.1,193540.0,-0.58,,,,,,,,,,,,,,,,,,,
37332.2,33385.5,37517.6,32428.6,209820.0,11.83,,,,,,,,,,,,,,,,,,,
36649.4,37375.2,38340.8,35824.0,154320.0,-1.83,,,,,,,,,,,,,,,,,,,
37314.6,36654.3,37641.1,36003.3,109150.0,1.81,,,,,,,,,,,,,,,,,,,
35467.5,37334.4,37437.3,34703.3,87730.0,-4.95,,,,,,,,,,,,,,,,,,,
39022.9,35467.5,39321.6,34827.0,123320.0,10.02,,,,,,,,,,,,,,,,,,,
40529.4,39024.1,40970.4,38769.9,157350.0,3.86,,,,,,,,,,,,,,,,,,,
40156.1,40522.5,41318.0,39589.9,117550.0,-0.92,,,,,,,,,,,,,,,,,,,
38336.0,40148.1,40494.4,38156.4,123520.0,-4.53,,,,,,,,,,,,,,,,,,,
38052.0,38337.8,39529.9,37425.3,109580.0,-0.74,,,,,,,,,,,,,,,,,,,
35749.4,38045.5,38166.0,35198.5,102840.0,-6.05,,,,,,,,,,,,,,,,,,,
35513.4,35770.0,36357.3,34845.5,105460.0,-0.66,,,,,,,,,,,,,,,,,,,
35595.8,35510.9,36097.9,33378.0,137480.0,0.23,,,,,,,,,,,,,,,,,,,
31692.0,35597.9,35708.4,31284.1,256870.0,-10.97,,,,,,,,,,,,,,,,,,,
32496.4,31682.7,33272.5,28901.8,309650.0,2.54,,,,,,,,,,,,,,,,,,,
33674.3,32498.3,34784.3,31736.5,173340.0,3.62,,,,,,,,,,,,,,,,,,,
34665.8,33678.1,35249.9,32356.7,119250.0,2.94,,,,,,,,,,,,,,,,,,,
31594.0,34660.5,35490.9,31337.9,193430.0,-8.86,,,,,,,,,,,,,,,,,,,
32243.4,31592.1,32643.0,30206.9,156670.0,2.06,,,,,,,,,,,,,,,,,,,
34678.5,32247.1,34685.5,32041.7,148800.0,7.55,,,,,,,,,,,,,,,,,,,
34475.9,34682.2,35231.2,33944.9,112000.0,-0.58,,,,,,,,,,,,,,,,,,,
35834.7,34477.3,36590.3,34247.6,97270.0,3.94,,,,,,,,,,,,,,,,,,,
35026.9,35832.6,36089.5,34126.6,107070.0,-2.25,,,,,,,,,,,,,,,,,,,
33543.6,35030.7,35032.7,32839.2,27410.0,-4.23,,,,,,,,,,,,,,,,,,,
33813.4,33542.2,33925.9,32734.6,78930.0,0.8,,,,,,,,,,,,,,,,,,,
34742.8,33814.2,34909.8,33363.3,55690.0,2.75,,,,,,,,,,,,,,,,,,,
35298.2,34742.8,35957.6,34740.1,56130.0,1.6,,,,,,,,,,,,,,,,,,,
33687.8,35297.0,35300.5,33164.1,88360.0,-4.56,,,,,,,,,,,,,,,,,,,
34225.6,33688.5,35062.0,33581.7,83630.0,1.6,,,,,,,,,,,,,,,,,,,
33867.8,34228.7,35036.6,33801.3,72030.0,-1.05,,,,,,,,,,,,,,,,,,,
32866.3,33859.4,33923.2,32146.9,108090.0,-2.96,,,,,,,,,,,,,,,,,,,
33797.4,32866.3,34079.2,32367.0,67140.0,2.83,,,,,,,,,,,,,,,,,,,
33510.6,33797.7,34221.0,33056.8,50940.0,-0.85,,,,,,,,,,,,,,,,,,,
34227.7,33510.8,34580.6,33319.8,35720.0,2.14,,,,,,,,,,,,,,,,,,,
33113.0,34228.3,34598.0,32662.8,63240.0,-3.26,,,,,,,,,,,,,,,,,,,
32728.1,33106.1,33307.7,32259.5,60040.0,-1.16,,,,,,,,,,,,,,,,,,,
32820.7,32727.8,33051.9,31611.2,69560.0,0.28,,,,,,,,,,,,,,,,,,,
31840.5,32820.5,33157.0,31175.8,76950.0,-2.99,,,,,,,,,,,,,,,,,,,
31394.0,31842.3,32239.8,31062.2,70480.0,-1.4,,,,,,,,,,,,,,,,,,,
31518.6,31384.4,31914.8,31207.8,58060.0,0.4,,,,,,,,,,,,,,,,,,,
31785.4,31517.9,32408.2,31220.6,57010.0,0.85,,,,,,,,,,,,,,,,,,,
30837.2,31782.9,31887.0,30478.2,77480.0,-2.98,,,,,,,,,,,,,,,,,,,
