dt,sentiment_balance,unique_social_volume_1h,miners_to_exchanges_flow,whale_transaction_count_more_than_100k_usd_5min,whale_transaction_count_more_than_1m_usd_5min,Date,Price,Open,High,Low,Vol.,Change %,5_day_ma,10_day_ma,20_day_ma,5_day_mv,10_day_mv,20_day_mv
2022-01-01,259.81163454055786,457.0,32.48875746,395.0,88.0,2022-01-01,47738.0,46217.5,47917.6,46217.5,31240.0,3.29,46148.64,44073.990000000005,43307.555,47730.0,56564.0,52660.0
2022-01-02,106.24503362178802,158.0,6.25239915,395.0,93.0,2022-01-02,47311.8,47738.7,47944.9,46718.2,27020.0,-0.89,45220.54,43573.509999999995,42744.43,54098.0,59618.0,58888.0
2022-01-03,129.7238928079605,117.0,12.573522619999476,377.0,85.0,2022-01-03,46430.2,47293.9,47556.0,45704.0,41060.0,-1.86,44067.520000000004,43232.43,42132.6,66366.0,62311.0,64441.5
2022-01-04,212.1831481456757,284.0,14.266125010000394,1020.0,147.0,2022-01-04,45837.3,46435.7,47505.4,45602.1,55590.0,-1.28,43115.880000000005,42845.409999999996,41624.565,68662.0,63547.0,65910.0
2022-01-05,124.25903099775314,260.0,25.18907553,707.0,144.0,2022-01-05,43425.9,45833.1,47019.4,42535.1,83740.0,-5.26,42318.08,42569.01,41167.015,65046.0,63038.0,70819.0
2022-01-06,74.58763474225998,255.0,0.0,307.0,119.0,2022-01-06,43097.5,43431.6,43772.3,42481.1,63080.0,-0.76,41999.340000000004,42536.12,40843.25,65398.0,57808.0,70616.0
2022-01-07,81.0220445394516,237.0,38.43392783999988,458.0,128.0,2022-01-07,41546.7,43097.9,43127.7,40810.0,88360.0,-3.6,41926.479999999996,42534.28,40528.395000000004,65138.0,54366.0,72855.5
2022-01-08,119.23654299974442,248.0,38.038045180000005,388.0,96.0,2022-01-08,41672.0,41551.3,42304.4,40574.3,52540.0,0.3,42397.34,42600.53999999999,40309.275,58256.0,49674.0,72613.5
2022-01-09,99.287302672863,189.0,1.476956170000364,312.0,77.0,2022-01-09,41848.3,41681.2,42764.4,41260.9,37510.0,0.42,42574.939999999995,42669.8,40112.93,58432.0,49152.0,73459.0
2022-01-10,143.8158294558525,164.0,25.91706018,359.0,57.0,2022-01-10,41832.2,41848.9,42243.8,39697.0,85500.0,-0.04,42819.94,42652.75,39929.05500000001,61030.0,50778.0,73722.0
2022-01-11,115.98169642686844,208.0,31.59910125,541.0,127.0,2022-01-11,42733.2,41829.1,43090.2,41287.6,61780.0,2.15,43072.9,42541.119999999995,39733.33,50218.0,48756.0,71152.0
2022-01-12,26.518364191055294,124.0,0.0,0.0,0.0,2022-01-12,43901.0,42735.0,44243.6,42476.7,53950.0,2.73,43142.08,41915.35,39521.6,43594.0,58158.0,71126.5
2022-01-13,95.90103244781494,233.0,31.96394254000004,519.0,139.0,2022-01-13,42560.0,43900.0,44404.7,42337.5,53420.0,-3.05,42803.740000000005,41032.770000000004,39262.035,41092.0,66572.0,71189.0
2022-01-14,78.93235397338867,188.0,25.13997335,539.0,154.0,2022-01-14,43073.3,42562.2,43435.1,41848.7,50500.0,1.21,42764.66,40403.72,38978.545,39872.0,68273.0,71205.0
2022-01-15,181.1451551914215,222.0,19.88132733,376.0,62.0,2022-01-15,43097.0,43073.6,43777.9,42586.1,31440.0,0.06,42485.56,39765.02,38689.270000000004,40526.0,78600.0,71197.5
2022-01-16,142.53819781541824,222.0,25.20232393,280.0,50.0,2022-01-16,43079.1,43079.2,43462.0,42643.3,28660.0,-0.04,42009.34,39150.38,38612.8,47294.0,83424.0,74400.0
2022-01-17,338.63249558210373,431.0,31.38101003,334.0,72.0,2022-01-17,42209.3,43080.5,43179.6,41559.4,41440.0,-2.02,40688.619999999995,38522.51,38529.45,72722.0,91345.0,75283.0
2022-01-18,104.87848299741744,158.0,0.0,616.0,158.0,2022-01-18,42364.6,42209.9,42674.2,41300.7,47320.0,0.37,39261.8,38018.01,38538.594999999994,92052.0,95553.0,74771.0
2022-01-19,124.46258133649826,178.0,37.715579199998615,484.0,111.0,2022-01-19,41677.8,42365.3,42558.0,41160.9,53770.0,-1.62,38042.78,37556.06,38612.06,96674.0,97766.0,76235.0
2022-01-20,106.6019762158394,146.0,18.91068447,540.0,90.0,2022-01-20,40715.9,41683.6,43487.1,40568.3,65280.0,-2.31,37044.48,37205.36,38730.08,116674.0,96666.0,78190.5
2022-01-21,101.08900499343872,329.0,25.05689427999913,703.0,145.0,2022-01-21,36475.5,40698.1,41104.6,35503.9,155800.0,-10.41,36291.42,36925.54,38913.729999999996,119554.0,93548.0,77472.5
2022-01-22,131.95226389169693,359.0,31.62902032999915,749.0,178.0,2022-01-22,35075.2,36467.7,36749.8,34116.0,138090.0,-3.84,36356.4,37127.85,39266.005,109968.0,84095.0,74167.0
2022-01-23,136.25393134355545,229.0,18.90244163,414.0,111.0,2022-01-23,36269.5,35072.9,36513.0,34655.2,70430.0,3.4,36774.22,37491.3,39631.66499999999,99054.0,75806.0,70760.0
2022-01-24,120.1553760766983,232.0,18.91695175,704.0,216.0,2022-01-24,36686.3,36268.6,37424.0,32985.6,153770.0,1.15,37069.340000000004,37553.37,39928.45,98858.0,74137.0,69132.5
2022-01-25,69.18726068735123,187.0,4.133e-05,282.0,84.0,2022-01-25,36950.6,36691.3,37501.8,35729.3,79680.0,0.72,37366.240000000005,37613.52,40197.19,76658.0,63795.0,62738.0
2022-01-26,113.59127712249756,265.0,33.43696391,520.0,191.0,2022-01-26,36800.4,36962.3,38862.6,36280.0,107870.0,-0.41,37559.66,38075.22,40477.175,67542.0,65376.0,61434.0
2022-01-27,106.6886391043663,227.0,28.161647319999435,707.0,217.0,2022-01-27,37164.3,36800.1,37215.4,35543.2,83520.0,0.99,37899.3,38536.39,40864.375,58222.0,59221.0,58857.5
2022-01-28,122.22525078058244,298.0,12.558290320001303,497.0,133.0,2022-01-28,37745.1,37195.6,37995.9,36176.5,69450.0,1.56,38208.38,39059.18,41200.34,52558.0,53989.0,56751.5
2022-01-29,109.25497782230376,221.0,31.58378988,720.0,125.0,2022-01-29,38170.8,37736.5,38663.7,37350.2,42770.0,1.13,38037.4,39668.06,41340.725,49416.0,54704.0,56910.5
2022-01-30,210.8950268626213,146.0,31.69868465,312.0,80.0,2022-01-30,37917.7,38167.5,38313.3,37390.6,34100.0,-0.66,37860.8,40254.8,41432.189999999995,50932.0,59715.0,58020.0
2022-01-31,87.85373973846436,166.0,33.00192063,456.0,71.0,2022-01-31,38498.6,37923.8,38701.4,36672.8,61270.0,1.53,38590.78,40901.92,41540.82,63210.0,61397.0,57604.0
2022-02-01,152.36324495077133,181.0,12.59286299,539.0,129.0,2022-02-01,38709.7,38475.6,39230.0,38037.9,55200.0,0.55,39173.48,41404.159999999996,41533.64,60220.0,64239.0,56936.5
2022-02-02,111.78019493818285,183.0,0.0,353.0,97.0,2022-02-02,36890.2,38711.2,38853.8,36682.3,53740.0,-4.7,39909.979999999996,41772.03,41449.03999999999,55420.0,65714.0,58767.5
